Priority,Type,Topic,SubTopic,Index,Question,Answer,Number,Personal
3,Vocab Refreshers,The 50 States,-,261,the current Governor of Georgia,Brian Kemp,Singular,Yes
3,Vocab Refreshers,The 50 States,-,262,the current Governor of Hawaii,Josh Green,Singular,Yes
3,Vocab Refreshers,The 50 States,-,263,the current Governor of Idaho,Brad Little,Singular,Yes
3,Vocab Refreshers,The 50 States,-,264,the current Governor of Illinois,JB Pritzker,Singular,Yes
3,Vocab Refreshers,The 50 States,-,265,the current Governor of Indiana,Mike Braun,Singular,Yes
3,Vocab Refreshers,The 50 States,-,266,the current Governor of Iowa,Kim Reynolds ,Singular,Yes
3,Vocab Refreshers,The 50 States,-,267,the current Governor of Kansas,Laura Kelly D,Singular,Yes
3,Vocab Refreshers,The 50 States,-,268,the current Governor of Kentucky,Andy Beshear D,Singular,Yes
3,Vocab Refreshers,The 50 States,-,269,the current Governor of Louisiana,Jeff Landry GOP,Singular,Yes
3,Vocab Refreshers,The 50 States,-,270,the current Governor of Maryland,Wes Moore,Singular,Yes
3,Vocab Refreshers,The 50 States,-,271,the current Governor of Massachusetts,Maura Healey,Singular,Yes
3,Vocab Refreshers,The 50 States,-,272,the current Governor of Michigan,Gretchen Whitmer,Singular,Yes
3,Vocab Refreshers,The 50 States,-,273,the current Governor of Minnesota,Tim Walz,Singular,Yes
3,Vocab Refreshers,The 50 States,-,274,the current Governor of Mississippi,Tate Reeves,Singular,Yes
3,Vocab Refreshers,The 50 States,-,275,the current Governor of Missouri,Mike Kehoe,Singular,Yes
3,Vocab Refreshers,The 50 States,-,276,the current Governor of Montana,Greg Gianforte,Singular,Yes
3,Vocab Refreshers,The 50 States,-,277,the current Governor of Nebraska,Jim Pillen,Singular,Yes
3,Vocab Refreshers,The 50 States,-,278,the current Governor of Nevada,Joe Lombardo,Singular,Yes
3,Vocab Refreshers,The 50 States,-,279,the current Governor of New Jersey,Phil Murphy,Singular,Yes
3,Vocab Refreshers,The 50 States,-,280,the current Governor of New Mexico,Michelle Lujan Grisham,Singular,Yes
3,Vocab Refreshers,The 50 States,-,281,the current Governor of New York,Kathy Hochul,Singular,Yes
3,Vocab Refreshers,The 50 States,-,282,the current Governor of North Carolina,Josh Stein D,Singular,Yes
3,Vocab Refreshers,The 50 States,-,283,the current Governor of North Dakota,Kelly Armstrong (a man),Singular,Yes
3,Vocab Refreshers,The 50 States,-,284,the current Governor of Ohio,Mike DeWine,Singular,Yes
3,Vocab Refreshers,The 50 States,-,285,the current Governor of Oklahoma,Kevin Stitt,Singular,Yes
3,Vocab Refreshers,The 50 States,-,286,the current Governor of Oregon,Tina Kotek,Singular,Yes
3,Vocab Refreshers,The 50 States,-,287,the current Governor of Pennsylvania,Josh Shapiro,Singular,Yes
3,Vocab Refreshers,The 50 States,-,288,the current Governor of Rhode Island,Dan McKee,Singular,Yes
3,Vocab Refreshers,The 50 States,-,289,the current Governor of South Carolina,Henry McMaster,Singular,Yes
3,Vocab Refreshers,The 50 States,-,290,the current Governor of South Dakota,Larry Rhoden,Singular,Yes
3,Vocab Refreshers,The 50 States,-,291,the current Governor of Tennessee,Bill lee,Singular,Yes
3,Vocab Refreshers,The 50 States,-,292,the current Governor of Texas,Greg Abbott,Singular,Yes
3,Vocab Refreshers,The 50 States,-,293,the current Governor of Utah,Spencer Cox,Singular,Yes
3,Vocab Refreshers,The 50 States,-,294,the current Governor of Vermont,Phil Scott,Singular,Yes
3,Vocab Refreshers,The 50 States,-,295,the current Governor of Virginia,Glenn Youngkin,Singular,Yes
3,Vocab Refreshers,The 50 States,-,296,the current Governor of Washington,Bob Ferguson,Singular,Yes
3,Vocab Refreshers,The 50 States,-,297,the current Governor of West Virginia,Patrick Morrisey,Singular,Yes
3,Vocab Refreshers,The 50 States,-,298,the current Governor of Wisconsin,Tony Evers,Singular,Yes
3,Vocab Refreshers,The 50 States,-,299,the current Governor of Wyoming,Mark Gordon,Singular,Yes
3,Discrete Facts,The 50 States,-,300,the CT city that was once home to the world's largest trading floor,Stamford,Singular,No
3,Vocab Refreshers,The 50 States,-,301,"the man who passed away in Prouts Neck, ME in 1910","Winslow Homer, painter",Singular,Yes
3,Discrete Facts,The 50 States,-,302,the rock band formed in Burlington VT in 1983,Phish,Singular,No
3,Discrete Facts,The 50 States,-,303,"the tagline ""Vermont's Finest""",Phish Food,Singular,No
3,Vocab Refreshers,The 50 States,-,304,"the man born in Great Barrington MA and who died in Accra, Ghana",WEB DuBois,Singular,Yes
3,Discrete Facts,The 50 States,-,305,WEB DuBois' single most famous book,The Souls of Black Folk,Singular,No
3,Discrete Facts,The 50 States,-,306,the MA town that Dunkin is from,Quincy MA,Singular,No
3,Discrete Facts,The 50 States,-,307,Sir Andre Geim's claim to fame,only man to win a Nobel and Ig Nobel Prize,Singular,No
3,Discrete Facts,The 50 States,-,308,the U where the Ig Nobel prizes are handed out,MIT,Singular,No
3,Discrete Facts,The 50 States,-,309,the CT city that's home to Philip Johnson's Glass House,New Canaan,Singular,No
3,Discrete Facts,The 50 States,-,310,the company based in South Deerfield MA,Yankee Candle,Singular,No
3,Vocab Refreshers,TV,-,311,Tony Soprano's daughter,Meadow,Singular,Yes
3,Vocab Refreshers,The 50 States,-,312,the town in the play Our Town,Grover's Corners NH,Singular,No
3,Discrete Facts,The 50 States,-,313,the sport with a HOF in Springfield MA,Basketball,Singular,No
3,Discrete Facts,The 50 States,-,314,the sport with a HOF in Newport RI,Tennis,Singular,No
3,Vocab Refreshers,The 50 States,-,315,"the famous son of Leominster, MA","John Chapman (""Johnny Appleseed"")",Singular,Yes
3,Vocab Refreshers,The 50 States,-,316,"the author who lived in Dummerston, VT in the 1890's at a home he called Naulakha",Rudyard Kipling,Singular,Yes
3,Vocab Refreshers,The 50 States,-,317,the Russian-born namesake of the Bridgeport CT municipal airport,(Igor) Sikorsky,Singular,Yes
3,Vocab Refreshers,The 50 States,-,318,the footwear company based in Stratham NH,Timberland,Singular,No
3,Vocab Refreshers,The 50 States,-,319,the mayor of Boston,Michelle Wu,Singular,Yes
3,Vocab Refreshers,The 50 States,-,320,the MA member of the Squad in Congress,Ayanna Pressley,Singular,Yes
3,Vocab Refreshers,The 50 States,-,321,the alias of Jason Momoa's Aquaman,Arthur Curry,Singular,Yes
3,Discrete Facts,The 50 States,-,322,the river/city that’s been the annual home of WaterFire by Barnaby Evans since 1998,Providence,Singular,No
3,Discrete Facts,The 50 States,-,323,the Red Sox player who famously swore giving remarks after the 2013 Boston Marathon bombing,David Ortiz,Singular,Yes
3,Discrete Facts,The 50 States,-,324,"the guy credited for ""Boston Brahmins""",Oliver Wendell Holmes Sr. ,Singular,Yes
3,Discrete Facts,The 50 States,-,325,Franklin Pierce's birthplace,Hillsborough NH,Singular,No
3,Discrete Facts,The 50 States,-,326,Chester A Arthur's birthplace,Fairfield VT,Singular,No
3,Discrete Facts,The 50 States,-,327,Coolidge's birthplace,Plymouth VT,Singular,No
3,Vocab Refreshers,The 50 States,-,328,JFK's birthplace,"Brookline MA, 1917",Singular,No
3,Vocab Refreshers,The 50 States,-,329,GHWB's birthplace,"Milton MA, 6/12/1924",Singular,No
3,Discrete Facts,The 50 States,-,330,the only President laid to rest in VT,Coolidge,Singular,Yes
3,Discrete Facts,The 50 States,-,331,the state flower of NH,purple lilac,Singular,No
3,Discrete Facts,The 50 States,-,332,the state tree of NH,white/paper birch,Singular,No
3,Vocab Refreshers,The 50 States,-,333,the state dog of NH,Chinook (really; a kind of sled dog),Singular,No
3,Discrete Facts,The 50 States,-,334,the state fruit of NH,pumpkin (really),Singular,No
3,Discrete Facts,The 50 States,-,335,the state insect of NH,ladybug,Singular,No
3,Discrete Facts,The 50 States,-,336,the state spider of NH,the daring jumping spider,Singular,No
3,Discrete Facts,The 50 States,-,337,the state sport of NH,skiing,Singular,No
3,Discrete Facts,The 50 States,-,338,the state rock of NH,granite (duh),Singular,No
3,Deep Cuts,The 50 States,-,339,the state mineral of NH,Beryl,Singular,No
3,Discrete Facts,The 50 States,-,340,the state gem (not mineral) of NH,smoky quartz,Singular,No
3,Discrete Facts,The 50 States,-,341,"the state symbol that the ""New Hampshire Red"" is",State Poultry,Singular,No
3,Discrete Facts,The 50 States,-,342,"the state named by Captain John Mason, a governor of Portsmouth in ENG",NH,Singular,No
3,Discrete Facts,The 50 States,-,343,the fate of the MA-NH border town called Dunstable,the NH portion was renamed Nashua (after an Algonkian-named river),Singular,No
3,Discrete Facts,The 50 States,-,344,the state capital named after a peacefully resolved boundary dispute,Concord NH,Singular,No
3,Discrete Facts,The 50 States,-,345,the state capital first settled as Penacook and then incorporated as Rumford,Concord NH,Singular,No
3,Vocab Refreshers,The 50 States,-,346,the famous boarding school in NH where Gore Vidal and John Irving et al went,Philips Exeter Academy,Singular,No
3,Discrete Facts,The 50 States,-,347,Daniel Webster's birthplace,Salisbury NH,Singular,No
3,Discrete Facts,The 50 States,-,348,the state that Daniel Webster repped in the US Senate,MA,Singular,No
3,Discrete Facts,The 50 States,-,349,the lawyer who argued and won McCulloch v. MD and Gibbons v. Ogden et al.,Daniel Webster,Singular,Yes
3,Vocab Refreshers,The 50 States,-,350,the southern NH mountain cited as one of the world's most frequently climbed,Mt. Monadnock,Singular,No
3,Vocab Refreshers,The 50 States,-,351,the American sculptor of the Lincoln Memorial who was born in Exeter NH,Daniel Chester French,Singular,Yes
3,Discrete Facts,The 50 States,-,352,the first state to have a state lottery (est 1964),NH,Singular,No
3,Vocab Refreshers,The 50 States,-,353,the writer whose father whom he never met was shot down over Burma in war,John Irving (born Blunt),Singular,Yes
3,Discrete Facts,The 50 States,-,354,the writer of The Hotel New Hampshire,John Irving (born Blunt),Singular,Yes
3,Vocab Refreshers,The 50 States,-,355,the New Hampshire teacher with an asteroid named for her,Christa McAuliffe,Singular,Yes
3,Discrete Facts,The 50 States,-,356,the state bird of NH,the purple finch,Singular,No
3,Discrete Facts,The 50 States,-,357,the Canadian province where US Route 1 terminates,New Brunswick,Singular,No
3,Discrete Facts,The 50 States,-,358,state that saw the undeclared Aroostook War,Maine,Singular,No
3,Vocab Refreshers,The 50 States,-,359,the undeclared war resolved by the 1842 Webster-Ashburton Treaty,Aroostook War,Singular,No
3,Discrete Facts,The 50 States,-,360,the home of Dartmouth College,Hanover NH,Singular,No
3,Discrete Facts,The 50 States,-,361,the Presidential family that GHWB married into,Pierce,Singular,No
3,Discrete Facts,The 50 States,-,362,the NH mountain with a famous observatory,Mount Washington,Singular,No
3,Discrete Facts,The 50 States,-,363,the USA's oldest state library,NH's,Singular,No
3,Vocab Refreshers,The 50 States,-,364,Pierce's nickname for his devotion to Jackson,Young Hickory,Singular,No
3,Discrete Facts,The 50 States,-,365,Hanover NH's Art Museum,Hood Art Museum,Singular,No
3,Discrete Facts,The 50 States,-,366,the thing that passed out of existence on May 3 2003,NH's Old Man of the Mountain,Singular,No
3,Discrete Facts,The 50 States,-,367,the University of New Hampshire's flagship campus's hometown,Durham NH,Singular,No
3,Discrete Facts,The 50 States,-,368,the U of NH's sports nickname,Wildcats,Singular,No
3,Discrete Facts,The 50 States,-,369,the state that's home to Saint Anselm College,NH,Singular,No
3,Discrete Facts,The 50 States,-,370,the NH city that's on the water next to the Maine border,Portsmouth (Hampshire ENG also has one),Singular,No
3,Discrete Facts,The 50 States,-,371,the outdoor history museum in Portsmouth NH,Strawberry Banke,Singular,No
3,Discrete Facts,The 50 States,-,372,the 1981 movie filmed at Squam Lake in NH,On Golden Pond,Singular,No
3,Discrete Facts,Literature,-,373,the name of the titular celebrated jumping frog of Calaveras County in Twain's story,"Daniel ""Dan'l"" Webster",Singular,No
3,Vocab Refreshers,Literature,-,374,William Faulkner's home estate,Rowan Oak,Singular,No
3,Vocab Refreshers,The 50 States,-,375,the woman born in Bow NH in 1821,Mary Baker Eddy,Singular,Yes
3,Discrete Facts,The 50 States,-,376,the religious founder who had a house called Pleasant View in Concord NH,Mary Baker Eddy,Singular,Yes
3,Discrete Facts,The 50 States,-,377,NH's 4th-most populous city which is where potatoes were first cultivated in Britain's colonies,Derry (as in Ireland),Singular,No
3,Vocab Refreshers,The 50 States,-,378,the first man to sign the Declaration after John Hancock,Josiah Bartlett,Singular,Yes
3,Discrete Facts,The 50 States,-,379,the state whose DOI signers are Josiah Bartlett; William Whipple; and Matthew Thornton,NH,Singular,No
3,Vocab Refreshers,The 50 States,-,380,the DC neighborhood named for the traffic circle where CT MA and NH avenues meet,DuPont Circle,Singular,No
3,Vocab Refreshers,The 50 States,-,381,the NH place where the IMF was formed at a 1944 conference,Bretton Woods,Singular,No
3,Discrete Facts,The 50 States,-,382,"the British ""baron"" who traveled to Bretton Woods in 1944",J M Keynes,Singular,Yes
3,Vocab Refreshers,The 50 States,-,383,John Irving's 1981 novel and 1984 Beau Bridges film,The Hotel New Hampshire,Singular,No
3,Discrete Facts,The 50 States,-,384,"the nation's first ""primary"" (not caucus)",NH,Singular,No
3,Discrete Facts,The 50 States,-,385,the primary that gave Clinton the Comback Kid moniker,NH,Singular,No
3,Discrete Facts,The 50 States,-,386,the 1st president born in the Nineteenth Century,Franklin Pierce--1804,Singular,Yes
3,Discrete Facts,The 50 States,-,387,the 1st President born in the 1800's,Millard Fillmore--1800,Singular,Yes
3,Discrete Facts,The 50 States,-,388,the city that's the most populous in its state and that used to be named Harrytown and then Derryfield,Manchester,Singular,No
3,Discrete Facts,The 50 States,-,389,the year that NH was cleaved from MA,1741,Singular,No
3,Deep Cuts,The 50 States,-,390,Mr. Rogers' alma mater,Dartmouth in NH,Singular,No
3,Discrete Facts,The 50 States,-,391,the state that Robert Frost rests in,VT,Singular,No
3,Vocab Refreshers,The 50 States,-,392,the oldest and southernmost town in Maine; it's also home to the Portsmouth Naval Shipyard,Kittery,Singular,No
3,Discrete Facts,The 50 States,-,393,the state flag with the frigate USS Raleigh on it,NH's (really),Singular,No
3,Vocab Refreshers,The 50 States,-,394,the name of the ship on NH's flag,Raleigh,Singular,No
3,Discrete Facts,The 50 States,-,395,the only Maine college attended by a POTUS,Bowdoin by Pierce,Singular,No
3,Discrete Facts,The 50 States,-,396,the western stagecoach named for an eastern state capital,Concord,Singular,No
3,Discrete Facts,The 50 States,-,397,the war ended by a treaty that was ACTUALLY signed in Kittery ME,Russo-Japanese War,Singular,No
3,Discrete Facts,The 50 States,-,398,the 2 state capitals whose names start and end with the same letter,Augusta; Atlanta,Plural,No
3,Discrete Facts,The 50 States,-,399,the geographic name for some land in Kennebunkport ME,Walker's Point,Singular,No
3,Discrete Facts,The 50 States,-,400,the writer who was married to Mary Potter and then Frances Appleton,Henry Wadsworth Longfellow,Singular,No
3,Vocab Refreshers,The 50 States,-,401,the author born in 1807 in Portland-then-Massachusetts,Henry Wadsworth Longfellow,Singular,No
3,Discrete Facts,The 50 States,-,402,the school where Woodrow Wilson got his PhD,Johns Hopkins,Singular,No
3,Deep Cuts,The 50 States,-,403,the town where E B White died in 1985,Brooklin ME,Singular,No
3,Discrete Facts,The 50 States,-,404,the invention from 1873 by Chester Greenwood in (frigid) Framington Maine,Earmuffs,Singular,No
3,Discrete Facts,The 50 States,-,405,the man responsible for Portland OR being named after Portland ME,Francis Pettygrove,Singular,No
3,Discrete Facts,The 50 States,-,406,the private college in Waterville ME,Colby College,Singular,No
3,Discrete Facts,The 50 States,-,407,the place sealed off in Under the Dome,Chester's Mill ME,Singular,No
3,Discrete Facts,The 50 States,-,408,the art museum in Rockland ME,Farmsworth Art Museum,Singular,No
3,Vocab Refreshers,The 50 States,-,409,the painting that's set in Cushing ME,Christina's World by Andrew Wyeth (1917-2009),Singular,No
3,Deep Cuts,The 50 States,-,410,the Underground Railroad's foreign-sounding church in Portland ME,Abyssinian Meeting House,Singular,No
3,Vocab Refreshers,The 50 States,-,411,the home of Bates College,Lewiston Maine,Singular,No
3,Discrete Facts,The 50 States,-,412,Maine's Big Three,Bates-Colby-Bowdoin,Singular,No
3,Vocab Refreshers,The 50 States,-,413,"the famous 4-named, 3-termed US Senator from Maine and ""Mother of the Waves"" (1949-73)",Margaret Chase Smith,Singular,Yes
3,Vocab Refreshers,The 50 States,-,414,the US Senator from Maine who lost the 1884 election to Cleveland,James G. Blaine,Singular,Yes
3,Discrete Facts,The 50 States,-,415,the cabinet position that James G. Blaine held for 2 terms,Sec-State (for JAG; CAA; and…BH),Singular,No
3,Vocab Refreshers,The 50 States,-,416,the first Republican woman to win a 5th term in the Senate,"Susan ""Concerned"" Collins",Singular,Yes
3,Discrete Facts,The 50 States,-,417,"the newspaper whose cartoon caption coined ""Remember the Maine""",The Washington Post,Singular,No
3,Deep Cuts,The 50 States,-,418,Portland ME's famous charming street,Wharf street,Singular,No
3,Discrete Facts,The 50 States,-,419,the novel set in Ludlow ME,Pet Sematary,Singular,No
3,Vocab Refreshers,The 50 States,-,420,the name of Maine's mountain with a ski resort and a … familiar name,Sugarloaf Mountain,Singular,No
3,Vocab Refreshers,The 50 States,-,421,the Maine Senator who served as VP,Hannibal Hamlin,Singular,Yes
3,Discrete Facts,The 50 States,-,422,the home of Moose Point State Park,Maine,Singular,No
3,Discrete Facts,The 50 States,-,423,the least densely populated state east of the Mississippi,Maine,Singular,No
3,Discrete Facts,The 50 States,-,424,the state flower of Maine,a cone from the pine tree (really),Singular,No
3,Discrete Facts,The 50 States,-,425,the animal named Homarus americanus,lobster,Singular,No
3,Discrete Facts,The 50 States,-,426,the hometown of Loren Coleman's International Cryptozoology Museum,Portland ME,Singular,No
3,Vocab Refreshers,The 50 States,-,427,the famous children's book of Patricia MacLachlan,Sarah Plain and Tall (1985),Singular,No
3,Vocab Refreshers,The 50 States,-,428,the Pulitzer-winning Portland ME-born and raised woman writer,Elizabeth Strout,Singular,Yes
3,Discrete Facts,The 50 States,-,429,the debut novel (1998) of Elizabeth Strout,Amy & Isabelle (later a movie with Elizabeth Shue),Singular,No
3,Vocab Refreshers,The 50 States,-,430,the Elizabeth Strout novel/short story cycle from 2008 that won her the Pulitzer,Olive Kitteridge--set in fictional Crosby ME,Singular,No
3,Discrete Facts,The 50 States,-,431,the fictional setting for most of Elizabeth Strout's fiction,Shirley Falls ME,Singular,No
3,Discrete Facts,The 50 States,-,432,the first woman to serve in both Houses of Congress,Margaret Chase Smith (R-ME),Singular,Yes
3,Discrete Facts,The 50 States,-,433,the US Senator from Maine on Nixon's enemies list,Edmund Muskie,Singular,Yes
3,Vocab Refreshers,The 50 States,-,434,the fictional New England town where Once Upon A Time is set,Storybrooke ME,Singular,No
3,Deep Cuts,The 50 States,-,435,the Alma Mater of Stephen King,U of Maine,Singular,No
3,Discrete Facts,The 50 States,-,436,the state where Misery is set,Colorado,Singular,No
3,Vocab Refreshers,The 50 States,-,437,the Pulitzer-winning poetess born in Rockland ME,Edna St. Vincent Millay,Singular,Yes
3,Vocab Refreshers,The 50 States,-,438,the Penobscot baseball player,Louis Sockalexis,Singular,Yes
3,Vocab Refreshers,The 50 States,-,439,the Penobscot chief and town namesake,Orono,Singular,Yes
3,Deep Cuts,The 50 States,-,440,"the ""most photographed house in the state of Maine"" in Kennebunkport's nickname",the Wedding Cake House,Singular,No
3,Vocab Refreshers,The 50 States,-,441,the TV show set in the fictional Collinsport ME (1966-71),Dark Shadows (a Gothic soap opera),Singular,No
3,Discrete Facts,The 50 States,-,442,the US Senator from Maine who was Sec-Def as the only Republican in Clinton's Cabinet,William Cohen,Singular,Yes
3,Deep Cuts,The 50 States,-,443,the US Senator who helped broker peace in Northern Ireland in 1998,George Mitchell,Singular,Yes
3,Vocab Refreshers,The 50 States,-,444,the fictitious setting of Murder She Wrote (1984-96),Cabot Cove ME,Singular,No
3,Discrete Facts,The 50 States,-,445,the easternmost US State capital,Augusta,Singular,No
3,Discrete Facts,The 50 States,-,446,the birthplace of Hannibal Hamlin,Paris ME,Singular,No
3,Deep Cuts,The 50 States,-,447,the village in Maine that Winslow Homer moved to in the 1880s,Prouts Neck,Singular,No
3,Vocab Refreshers,The 50 States,-,448,the sequel to the novel Sarah Plain and Tall,Skylark,Singular,No
3,Discrete Facts,The 50 States,-,449,the first state to ban the sale of alcohol (1851),Maine,Singular,No
3,Vocab Refreshers,The 50 States,-,450,the cinematic animal that Rockport ME is known for,Andre the seal,Singular,No
3,Discrete Facts,The 50 States,-,451,the titular art subject whose surname is Olson,Christina (of Christina's World),Singular,Yes
3,Discrete Facts,The 50 States,-,452,the state HBS wrote Uncle Tom's Cabin in,Maine,Singular,No
3,Discrete Facts,Geography,-,453,the easternmost point on mainland Asia,Cape Dezhnev in the Bering Strait,Singular,No
3,Discrete Facts,The 50 States,-,454,the animal on the state flag of Maine,Moose (Alces alces),Singular,No
3,Discrete Facts,The 50 States,-,455,the 2 current places briefly occupied by the unrecognized Republic of Madawaska in 1827,New Brunswick; Maine,Singular,No
3,Discrete Facts,The 50 States,-,456,the Amtrak line named for a holiday,Mardi Gras,Singular,No
3,Discrete Facts,The 50 States,-,457,the state of Amtrak's Capitol Corridor,CA,Singular,No
3,Discrete Facts,The 50 States,-,458,the Amtrak's NY-Toronto line,Maple Leaf,Singular,No
3,Discrete Facts,The 50 States,-,459,"the ultimate namesake of ""Bowdoin""",a family/politician,Singular,No
3,Discrete Facts,The 50 States,-,460,the site of 2023 mass shooting in Maine,bowling alley in Lewiston,Singular,No
3,Discrete Facts,The 50 States,-,461,the sports nickname for Bowdoin College,Polar Bears,Singular,No
3,Discrete Facts,The 50 States,-,462,the two rivers that determine Maine's border with Canada,St. John's and St. Francis,Plural,No
3,Discrete Facts,Business,-,463,the three eponymous luxury brands of LVMH,Louis Vitton; Moet (et Chandon); Hennessy (Cognac),Plural,No
3,Deep Cuts,Business,-,464,the watch brand that made it to space first thanks to comrade Gagarin,Sturmanskye,Singular,No
3,Discrete Facts,Business,-,465,the Swiss conglomerate that owns so many watch brands,the Swatch Group,Singular,No
3,Discrete Facts,Business,-,466,"the reason it's called ""Swatch""","""second watch""",Singular,No
3,Discrete Facts,Business,-,467,the motivation for Swatch being founded in the 1980's,"the Swiss ""quartz crisis""",Singular,No
3,Vocab Refreshers,Business,-,468,the Swiss watch brand est. 1848 by Louis Brandt,Omega,Singular,No
3,Vocab Refreshers,Business,-,469,the Swiss town where Omega was founded and where TAG Heuer is currently HQ'd,La Chaux-de-Fonds,Singular,No
3,Deep Cuts,Business,-,470,the Swiss city where Omega is currently HQ'd,Biel-Bienne,Singular,No
3,Discrete Facts,Business,-,471,the maker of the first diver's watch,Omega,Singular,No
3,Discrete Facts,Business,-,472,"the watch adopted by the RAF, US Army, and NASA",Omega,Singular,No
3,Discrete Facts,Business,-,473,the first model of watch on the moon,Omega Speedmaster Moonwatch,Singular,No
3,Discrete Facts,Business,-,474,the official Olympics timekeeper since 1932,Omega,Singular,No
3,Discrete Facts,Business,-,475,the model of watch worn by Leroy Jethro Gibbs and Bond since 1995,Omega Seamaster,Singular,No
3,Discrete Facts,Business,-,476,the watch brand founded by an Eduoard in 1860,TAG Heuer,Singular,No
3,Vocab Refreshers,Business,-,477,the watch brand that promises Avant Garde Techniques,TAG Heuer,Singular,No
3,Vocab Refreshers,Business,-,478,"the watch that ""you never actually own…you merely look after it for the next generation""",Patek Philippe,Singular,No
3,Discrete Facts,Business,-,479,the watch brand named after Antoine & Adrien,Patek Philippe,Singular,No
3,Discrete Facts,Business,-,480,the watch brand named in 1908 for a meaningless word,Rolex,Singular,No
3,Vocab Refreshers,Business,-,481,the watch brand with a crown logo,Rolex,Singular,No
3,Discrete Facts,Business,-,482,the city Rolex is HQ'd in,Geneva,Singular,No
3,Discrete Facts,Business,-,483,the watchmaker of the Daytona and Oyster series,Rolex,Singular,No
3,Deep Cuts,Business,-,484,the oldest surviving watch brand in the world (est. 1735 Swiss),Blancpain,Singular,No
3,Discrete Facts,Business,-,485,the Swiss watch brand that made a 24-hour watch face at Scott Carpenter's request,Breitling,Singular,No
3,Deep Cuts,Business,-,486,"the Swiss watch founded by Leon, then Gaston, then Willy",Breitling,Singular,No
3,Vocab Refreshers,Business,-,487,the wider portion/face of a ring or gem face,Bezel,Singular,No
3,Vocab Refreshers,Business,-,488,the specific kind of watch that combines a stopwatch and a display watch,Chronograph,Singular,No
3,Discrete Facts,Business,-,489,the Paris jeweler known for also making watches,Cartier,Singular,No
3,Discrete Facts,Business,-,490,the company behind the 1st TV commercial--doing so in 1941,Bulova and their watch the Accutron,Singular,No
3,Discrete Facts,Business,-,491,the ad slogan from the first TV commercial,"""America runs on Bulova time"" (a wristwatch) (the commercial cost $9 to air)",Singular,No
3,Discrete Facts,The 50 States,-,492,the suburb of Lewiston ME,Auburn,Singular,No
3,Discrete Facts,The 50 States,-,493,the ME city halfway between biggest city Portland and state capital Augusta,Lewiston ME,Singular,No
3,Discrete Facts,The 50 States,-,494,the country that's sourced Lewiston ME's immigrants,Somalia,Singular,No
3,Discrete Facts,The 50 States,-,495,the site of the first coed college in New England,Maine State Seminary in Maine,Singular,No
3,Discrete Facts,The 50 States,-,496,the state where the Androscoggin people mostly lived,Maine,Singular,No
3,Discrete Facts,The 50 States,-,497,the US city named for an isle off the coast of Dorset in ENG,Portland ME,Singular,No
3,Discrete Facts,The 50 States,-,498,the US city that had previously been Casco and Falmouth,Portland ME,Singular,No
3,Discrete Facts,The 50 States,-,499,the state capital preceded by settlements Cushnoc and Fort Western,Augusta ME,Singular,No
3,Discrete Facts,The 50 States,-,500,the Alabama college and also a Maine city,Auburn,Singular,No
3,Discrete Facts,The 50 States,-,501,"the current US State that King John of England had in a title as ""Count of…""",Maine,Singular,No
3,Discrete Facts,Cuisine,-,502,the meaning of potage in French,soup,Singular,No
3,Discrete Facts,Cuisine,-,503,"the soup word from French for ""cauldron""",chowder,Singular,No
3,Vocab Refreshers,Cuisine,-,504,"the meaning of French ""poireaux""",leeks,Singular,No
3,Vocab Refreshers,Cuisine,-,505,"the meaning of ""homard"" in French",lobster,Singular,No
3,Deep Cuts,Cuisine,-,506,gazpacho made with almonds rather than tomatoes,ajo blanco,Singular,No
3,Vocab Refreshers,Cuisine,-,507,the spicy Mexican soup named in Spanish for meatballs,Albondigas,Singular,No
3,Deep Cuts,Cuisine,-,508,the meaning of Asopao,a family of Puerto Rican soups,Singular,No
3,Pavlovs,Cuisine,-,509,the Chinese soup named for a marquee avian ingredient,Bird's nest soup,Singular,No
3,Deep Cuts,Cuisine,-,510,the kind of bird used for bird's nest soup,swallow/swift/swiftlet,Singular,No
3,Discrete Facts,Cuisine,-,511,a kind of soup or unglazed china,bisque,Singular,No
3,Vocab Refreshers,Cuisine,-,512,"a thick cream soup made with lobster, or oysters, or mushrooms",bisque,Singular,No
3,Vocab Refreshers,Cuisine,-,513,a luxurious mussel soup from France,billi bi,Singular,No
3,Vocab Refreshers,Cuisine,-,514,the cradle of Jewish comedy in NY,the Borscht Belt,Singular,No
3,Vocab Refreshers,Cuisine,-,515,the Eastern European beet stew garnished with sour cream,borscht,Singular,No
3,Vocab Refreshers,Cuisine,-,516,"the celebrated fish stew from Marseille, Provence, named after French for ""boil low""",Bouillabaisse,Singular,No
3,Deep Cuts,Cuisine,-,517,"the soup that Thackeray wrote a ""ballad of"" calling it a ""hotchpotch""",Bouillabaisse,Singular,No
3,Deep Cuts,Cuisine,-,518,the hot variant of bouillabaisse from Provence,bourride,Singular,No
3,Deep Cuts,Cuisine,-,519,the cold Polish summer variant on borscht,Chlodnik,Singular,No
3,Deep Cuts,Cuisine,-,520,the Turkish-named family of Mid-Eastern stews,Chorba,Singular,No
3,Discrete Facts,Cuisine,-,521,the kind of clam used for chowder,quahog,Singular,No
3,Vocab Refreshers,Cuisine,-,522,the word for a collection of cats,clowder,Singular,No
3,Vocab Refreshers,Cuisine,-,523,the Scottish soup of chicken and leeks,Cock-a-leekie,Singular,No
